Website,LengthOfVisit,PlaceCategory,Fee,PlaceURL,Description,Ranking,PlaceTitle,TotalReviews,Longitude,AddressLocality,AddressRegion,StreetAddress,PhoneNumber,PostCode,Latitude,OpeningHours,Email,AverageRating
,,"Hiking Trails, Nature & Parks, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g51890-d6825716-Reviews-Mount_Hebo_Trail-Grand_Ronde_Oregon.html,,#3 of 3 things to do in Grand Ronde,Mount Hebo Trail,1 ,,Grand Ronde,OR,,,,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g51863-d5834310-Reviews-The_Stagecoach_Saloon-Fairview_Oregon.html,,#2 of 3 things to do in Fairview,The Stagecoach Saloon,,,"Fairview,Fairview,Fairview","OR,OR,OR","20101 NE Sandy Boulevard,20101 NE Sandy Boulevard,1712 NE Fairview Avenue",(503) 667-5956,"97024,97024,97024",,,,
,,"Other Outdoor Activities, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g51890-d7106561-Reviews-Fort_Yamhill_State_Heritage_Area-Grand_Ronde_Oregon.html,,#2 of 3 things to do in Grand Ronde,Fort Yamhill State Heritage Area,3 ,,Grand Ronde,OR,Hwy 22,,97347,,,,2
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g51863-d5832869-Reviews-Alexander_OTB-Fairview_Oregon.html,,#3 of 3 things to do in Fairview,Alexander OTB,,,"Fairview,Fairview,Fairview","OR,OR,OR","1712 NE Fairview Avenue,20101 NE Sandy Boulevard,1712 NE Fairview Avenue",(503) 665-3400,"97024,97024,97024",,"Sun 9:00 am - 10:00 pm , Fri 9:00 am - 12:00 am , Mon - Thu 9:00 am - 11:00 pm , Sat 9:00 am - 11:00 pm , ",,
,,"Gear Rentals, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g51839-d6914609-Reviews-Detroit_Lake_Marina-Detroit_Oregon.html,,#3 of 3 things to do in Detroit,Detroit Lake Marina,2 ,,Detroit,OR,115 Breitenbush Road,,97342,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g51826-d6198537-Reviews-Big_Dog_Saloon_at_Crooked_River_Ranch-Crooked_River_Ranch_Central_Oregon_Oregon.html,,#3 of 3 things to do in Crooked River Ranch,Big Dog Saloon at Crooked River Ranch,5 ,,Crooked River Ranch,OR,14217 Sw Commercial Loop,541-504-4673,97760,,,,0
,,"Waterfalls, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g51826-d4296801-Reviews-Steelhead_Falls-Crooked_River_Ranch_Central_Oregon_Oregon.html,,#2 of 3 things to do in Crooked River Ranch,Steelhead Falls,7 ,,Crooked River Ranch,OR,,541-416-6700,,,,,0
,,"Mountains, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g51791-d3916521-Reviews-Lookout_Mountain-Canyon_City_Oregon.html,,#3 of 3 things to do in Canyon City,Lookout Mountain,,,"Canyon City,Canyon City","OR,OR",,,,,,,
,,"Hot Springs & Geysers, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g51770-d117023-Reviews-Terwilliger_Hot_Springs-Blue_River_Oregon.html,"Water emanates from a natural rock formation to fill these six hot springs pools, with temperatures of about 105 degrees.",#1 of 3 things to do in Blue River,Terwilliger Hot Springs,39 ,,Blue River,OR,Hwy 19,,97413,,,,6
,,"Gift & Specialty Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g51673-d4053701-Reviews-The_Grape_Junction-Stroud_Oklahoma.html,,#3 of 3 things to do in Stroud,The Grape Junction,,,"Stroud,Stroud","OK,OK","307 N. 8th AVE,307 N. 8th AVE",(918) 625-6662,"74079,74079",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g51710-d5835645-Reviews-The_Rusty_Barn-Vian_Oklahoma.html,,#3 of 3 things to do in Vian,The Rusty Barn,,,"Vian,Vian","OK,OK","Sanders Street,Sanders Street",918-360-0754,"74962,74962",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g51681-d5839814-Reviews-R_Bar-Talihina_Oklahoma.html,,#2 of 3 things to do in Talihina,R-Bar,,,"Talihina,Talihina,Talihina","OK,OK,OK","52550 US Hwy 271,204 Alley Lane (behind the hardware store),52550 US Hwy 271",918-567-3570,"74571,74571,74571",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g51710-d5838684-Reviews-Smokin_Goat_Roadhouse-Vian_Oklahoma.html,,#1 of 3 things to do in Vian,Smokin' Goat Roadhouse,1 ,,Vian,OK,452051 Hwy 100,918-773-5105,74962,,,,0
,,"Wineries & Vineyards, Food & Drink",,https://www.tripadvisor.com/Attraction_Review-g51673-d2358447-Reviews-StableRidge_Vineyards-Stroud_Oklahoma.html,,#1 of 3 things to do in Stroud,StableRidge Vineyards,24 ,,Stroud,OK,2016 Highway 66 West,(918) 968-1769,74079,,"Sun 12:00 pm - 5:00 pm , Sat 10:00 am - 6:00 pm , Mon - Fri 10:00 am - 5:00 pm , ",,2
,,"Golf Courses, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g51710-d232376-Reviews-Tenkiller_Golf_Club-Vian_Oklahoma.html,,#2 of 3 things to do in Vian,Tenkiller Golf Club,1 ,,Vian,OK,"Rt 1, Box 189",918-773-8436,74962,,,proshop@tenkillergolf.com,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g51681-d5829588-Reviews-Alley_Bar_and_Grill-Talihina_Oklahoma.html,,#3 of 3 things to do in Talihina,Alley Bar and Grill,,,"Talihina,Talihina,Talihina","OK,OK,OK","204 Alley Lane (behind the hardware store),204 Alley Lane (behind the hardware store),52550 US Hwy 271",918-721-9378,"74571,74571,74571",,,,
,,"Historic Sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g51633-d1930532-Reviews-Sequoyah_s_Cabin_Historic_Site-Sallisaw_Oklahoma.html,,#1 of 3 things to do in Sallisaw,Sequoyah's Cabin Historic Site,21 ,,Sallisaw,OK,"Route 1, Box 141",918.775.2413,74955,,,seqcabin@okhistory.org,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g52746-d5848038-Reviews-Bow_Creek_Inn-Grantville_Pennsylvania.html,,#3 of 3 things to do in Grantville,Bow Creek Inn,,,"Grantville,Grantville","PA,PA","9554 Jonestown Rd,9554 Jonestown Rd",(717) 469-0894,"17028,17028",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g52767-d5841108-Reviews-Broad_Street_Grille-Grove_City_Pennsylvania.html,,#3 of 3 things to do in Grove City,Broad Street Grille,4 ,,Grove City,PA,131 South Broad Street,724-458-4146,16127,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g52653-d5837657-Reviews-Cisco_s_Bar_Grill-Flourtown_Pennsylvania.html,,#1 of 3 things to do in Flourtown,Cisco's Bar & Grill,6 ,,Flourtown,PA,1538 Bethlehem Pike,(215) 233-9981,19031,,,,0
,,"Bowling Alleys, Fun & Games",,https://www.tripadvisor.com/Attraction_Review-g52617-d6707268-Reviews-Modern_Lanes_Exeter-Exeter_Luzerne_County_Pocono_Mountains_Region_Pennsylvania.html,,#1 of 3 things to do in Exeter,Modern Lanes Exeter,4 ,,Exeter,PA,1948 Wyoming Avenue,+1 570-693-0584,18643,,,,0
,,Spas & Wellness,,https://www.tripadvisor.com/Attraction_Review-g52670-d5012143-Reviews-Sage_Spa-Fort_Washington_Pennsylvania.html,"Enter a World of Peace and RenewalWe all need some time to get away from the busy world and focus on taking care of ourselves. At Sage Spa, you can escape from the stress of your responsibilities and soothe your mind, body and soul. Retreat to our quiet and peaceful spa, where you'll receive all the pampering and care you can dream of. Our professional therapists are ready to make your vi",#2 of 2 things to do in Fort Washington,Sage Spa,,,"Fort Washington,Fort Washington","PA,PA","431 S Bethlehem Pike,431 S Bethlehem Pike",+(1)267 460 8924,"19034,19034",,"Sun 10:00 am - 3:00 pm , Sat 10:00 am - 8:00 pm , Tue 10:00 am - 3:00 pm , Wed - Fri 10:00 am - 7:00 pm , ",tammy@sagespafortwashington.com,
,,"Cemeteries, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g52613-d7092363-Reviews-Evans_City_Cemetery-Evans_City_Pennsylvania.html,,#2 of 3 things to do in Evans City,Evans City Cemetery,7 ,,Evans City,PA,Franklin Rd,,,,,,1
,,"Sightseeing Tours, Tours",,https://www.tripadvisor.com/Attraction_Review-g52543-d3451057-Reviews-Lanzelot_Promenades-East_Earl_Lancaster_County_Pennsylvania.html,"Make your trip to Lancaster County complete, by taking a carriage ride with our magnificent 18+ hand Percheron team (the type of horses used in medieval times as war horses). All of our Percheron teams are in full parade dress and are a sight to see! ",#3 of 3 things to do in East Earl,Lanzelot Promenades,1 ,,East Earl,PA,129 Toddy Drive,717-940-1412,17519,,,contact@lanzelotpromenades.com,0
,,"Farms, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g52543-d7348680-Reviews-Hope_Springs_Farm-East_Earl_Lancaster_County_Pennsylvania.html,,#2 of 3 things to do in East Earl,Hope Springs Farm,1 ,,East Earl,PA,1543 Union Grove Road,717-445-0281,17519,,,,0
,,"Cooking Classes, Classes & Workshops, Food & Drink",,https://www.tripadvisor.com/Attraction_Review-g52550-d6623602-Reviews-Really_Cooking_with_Robin-East_Norriton_Pennsylvania.html,"Really Cooking with Robin is like no other cooking school. Great for Team Building, parties of all kinds kids and adults. It is fun, no frills approach to cooking. We cook from the heart and are constantly learning new ways to create. Although we teach from recipes, we do encourage students to put their own twist on it and experiment, it's all about having fun! We want to welcome everyone and make this a community cooking school. If a date and time doesn't work in your schedule, let us know, we can accommodate up to 30 people. Sundays and Mondays are by appointment only We guarantee you will leave happy, full and wanting more.",#2 of 3 things to do in East Norriton,Really Cooking with Robin,4 ,,East Norriton,PA,138 West Germantown Pike,+1 484-674-7748,19401,,"Sun - Sat 10:00 am - 10:00 pm , ",Robin@reallycookingwithrobin.com,0
,,"Historic Sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g52536-d1411197-Reviews-Eagles_Mere_Historic_Village-Eagles_Mere_Pennsylvania.html,"""The last unspoiled resort"". Lake, museum. Specialty shops, lodging, activities.",#2 of 3 things to do in Eagles Mere,Eagles Mere Historic Village,35 ,,Eagles Mere,PA,"Eagles Mere Avenue, Rt 42",,17731,,,peterglaubitz@yahoo.com,6
,,"Other Fun & Games, Fun & Games",,https://www.tripadvisor.com/Attraction_Review-g52550-d5984437-Reviews-Facenda_Whitaker_Lanes-East_Norriton_Pennsylvania.html,,#1 of 3 things to do in East Norriton,Facenda Whitaker Lanes,15 ,,East Norriton,PA,2912 Swede Road,(610) 272-6547,19401,,,,1
,,"Gift & Specialty Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g52640-d6403518-Reviews-Opulent_Jewelers-Feasterville_Pennsylvania.html,,#3 of 3 things to do in Feasterville,Opulent Jewelers,,,"Feasterville,Feasterville","PA,PA","801 W Street Rd,801 W Street Rd",2159530200,,,"Mon - Fri 11:00 am - 4:00 pm , ",,
,,"Game & Entertainment Centers, Fun & Games",,https://www.tripadvisor.com/Attraction_Review-g52640-d3833513-Reviews-Monster_Mini_Golf-Feasterville_Pennsylvania.html,,#1 of 3 things to do in Feasterville,Monster Mini Golf,11 ,,Feasterville,PA,1045 Bustleton Pike,215-396-6700,19053,,"Sun 12:00 pm - 8:00 pm , Fri 2:00 pm - 11:00 pm , Tue - Thu 2:00 pm - 9:00 pm , Sat 12:00 pm - 11:00 pm , ",feasterville@monsterminigolf.com,2
,,"Lessons & Workshops, Classes & Workshops",,https://www.tripadvisor.com/Attraction_Review-g52609-d2522701-Reviews-Vintage_Aero_Sports-Erwinna_Pennsylvania.html,,#3 of 3 things to do in Erwinna,Vintage Aero Sports,1 ,,Erwinna,PA,516 Cafferty Road,610 847 8444,18920,,,hahola@enter.net,0
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g52613-d6720387-Reviews-The_Living_Dead_Museum_and_Gift_Shop-Evans_City_Pennsylvania.html,,#1 of 3 things to do in Evans City,The Living Dead Museum and Gift Shop,11 ,,Evans City,PA,121 E Main Street,206-350-9641,16033,,,,1
,,Spas & Wellness,,https://www.tripadvisor.com/Attraction_Review-g52640-d1195018-Reviews-Escape_Away_Day_Spa-Feasterville_Pennsylvania.html,,#2 of 3 things to do in Feasterville,Escape Away Day Spa,13 ,,Feasterville,PA,210 East Street Road,215.364.5160,19053,,,escapeawayspa@yahoo.com,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g52617-d5830212-Reviews-Cuz_s_Bar_Grill-Exeter_Luzerne_County_Pocono_Mountains_Region_Pennsylvania.html,,#3 of 3 things to do in Exeter,Cuz's Bar & Grill,,,"Exeter,Exeter,Exeter","PA,PA,PA","167 Susquehanna Ave,1248 Wyoming Ave,167 Susquehanna Ave",570-299-7526,"18643,18643,18643",,,,
,,"Wineries & Vineyards, Food & Drink",,https://www.tripadvisor.com/Attraction_Review-g52609-d1049278-Reviews-Sand_Castle_Winery-Erwinna_Pennsylvania.html,,#1 of 3 things to do in Erwinna,Sand Castle Winery,144 ,,Erwinna,PA,755 River Road,800-722-9463,18920,,"Sun 11:00 am - 6:00 pm , Mon - Sat 10:00 am - 6:00 pm , ",info@sandcastlewinery.com,17
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g52617-d5845516-Reviews-Gober_s_Deco_Lounge_LLC-Exeter_Luzerne_County_Pocono_Mountains_Region_Pennsylvania.html,,#2 of 3 things to do in Exeter,"Gober's Deco Lounge, LLC",,,"Exeter,Exeter,Exeter","PA,PA,PA","1248 Wyoming Ave,1248 Wyoming Ave,167 Susquehanna Ave",570-655-5535,"18643,18643,18643",,,,
,,"State Parks, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g52746-d5011177-Reviews-Memorial_Lake_State_Park-Grantville_Pennsylvania.html,,#2 of 3 things to do in Grantville,Memorial Lake State Park,20 ,,Grantville,PA,18 Boundary Road,717-865-6470,,,,,0
,,"Art Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g52767-d2181812-Reviews-Slovak_Folk_Crafts-Grove_City_Pennsylvania.html,,#2 of 3 things to do in Grove City,Slovak Folk Crafts,29 ,,Grove City,PA,1605 S. Center Street Ext.,+1-724-748-5868,16127,,"Mon - Sat 9:00 am - 5:00 pm , ",,3
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g53892-d5834358-Reviews-Ricky_Lake_s_Place-Vandergrift_Pennsylvania.html,,#3 of 3 things to do in Vandergrift,Ricky Lake's Place,,,"Vandergrift,Vandergrift","PA,PA","2847 River Road,2847 River Road",(724) 567-5405,"15690,15690",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g53892-d5840989-Reviews-Niki_s_Quick_Six-Vandergrift_Pennsylvania.html,,#2 of 3 things to do in Vandergrift,Niki's Quick Six,4 ,,Vandergrift,PA,1024 First Street,724-568-4337 (north vandergrift) 724-478-5466 (spring church),15690,,,,0
,,"Movie Theaters, Fun & Games",,https://www.tripadvisor.com/Attraction_Review-g53909-d4472625-Reviews-Becky_s_Drive_In-Walnutport_Pennsylvania.html,,#1 of 3 things to do in Walnutport,Becky's Drive In,27 ,,Walnutport,PA,4845 Lehigh drive,+1 610-767-2249,,,,,3
,,"Lessons & Workshops, Classes & Workshops",,https://www.tripadvisor.com/Attraction_Review-g53878-d2397490-Reviews-Fly_School_Circus_Arts-Upper_Black_Eddy_Pennsylvania.html,,#2 of 3 things to do in Upper Black Eddy,Fly School Circus Arts,5 ,,Upper Black Eddy,PA,1735 Narrows Hill Rd,215-262-7353,18972,,,mkrayel@flyschoolcircusarts.com,0
,,"Boat Tours & Water Sports, Outdoor Activities, Tours",,https://www.tripadvisor.com/Attraction_Review-g53878-d3968045-Reviews-Bucks_County_Riverboat_company-Upper_Black_Eddy_Pennsylvania.html,,#3 of 3 things to do in Upper Black Eddy,Bucks County Riverboat company,1 ,,Upper Black Eddy,PA,1469 River Road,610-982-5252,18972,,,,0
,,"Theaters, Concerts & Shows",,https://www.tripadvisor.com/Attraction_Review-g53792-d3813152-Reviews-Spotlight_Theater-Swarthmore_Pennsylvania.html,,#3 of 3 things to do in Swarthmore,Spotlight Theater,2 ,,Swarthmore,PA,129 Park Ave,610-328-1079,19081,,,,1
,,"Farms, Horseback Riding Tours, Outdoor Activities, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g53733-d4454707-Reviews-Sheeder_Mill_Farm-Spring_City_Pennsylvania.html,,#3 of 3 things to do in Spring City,Sheeder Mill Farm,5 ,,Spring City,PA,12 Sheeder Mill Rd,+1 610-469-9382,19475,,"Sun 12:00 pm - 11:00 pm , Mon - Thu 11:30 am - 11:00 pm , Fri - Sat 11:30 am - 12:00 am , ",,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g53703-d5829432-Reviews-A_m_o_s_hotel-Smithton_Pennsylvania.html,,#3 of 3 things to do in Smithton,A.m.o.'s hotel,,,"Smithton,Smithton","PA,PA","636 rt 981,636 rt 981",724-872-5979,"15479,15479",,,,
,,"Farms, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g53762-d6863462-Reviews-Fox_Ridge_Farm-Stewartstown_Pennsylvania.html,,#3 of 3 things to do in Stewartstown,Fox Ridge Farm,1 ,,Stewartstown,PA,21210 Barrens Rd S,717-420-6173,,,,,0
,,"Golf Courses, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g53733-d3819946-Reviews-Spring_Hollow_Golf_Club-Spring_City_Pennsylvania.html,,#2 of 3 things to do in Spring City,Spring Hollow Golf Club,12 ,,Spring City,PA,3350 Schuylkill Road,610 948-5566,19475,,"Sun - Sat 7:00 am - 7:30 pm , ",,1
,,"Other Outdoor Activities, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g53691-d4354005-Reviews-Skytop_Lodge_s_Adventures-Skytop_Pocono_Mountains_Region_Pennsylvania.html,,#1 of 3 things to do in Skytop,Skytop Lodge's Adventures,113 ,,Skytop,PA,Intersection of Dutch Hill Road and RT 390,570 595 8988,18357-1099,,,,5
,,"Adrenaline & Extreme Tours, Tours, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g53703-d6612612-Reviews-Rusty_Wallace_Racing_Experience-Smithton_Pennsylvania.html,,#2 of 3 things to do in Smithton,Rusty Wallace Racing Experience,3 ,,Smithton,PA,Motordrome Speedway,401-206-7883,,,,,1
,,"Points of Interest & Landmarks, Historic Sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g53874-d10260628-Reviews-Claussville_School-United_Pennsylvania.html,,#2 of 3 things to do in United,Claussville School,,,"United,United,United","PA,PA,PA","2917 Route 100,2917 Route 100,208 East Bayfront Parkway",,16507,,,,
,,"Rail Tours, Tours",,https://www.tripadvisor.com/Attraction_Review-g53639-d138800-Reviews-Laurel_Highlands_Railroad-Scottdale_Pennsylvania.html,"Monopoly, anyone? A train ride through beautiful southwestern Pennsylvania along the former B&O and Pennsylvania Railroads, made famous from their appearance on the Monopoly game board.",#3 of 3 things to do in Scottdale,Laurel Highlands Railroad,2 ,,Scottdale,PA,25 South Broadway,724-887-4568,15683,,,,0
,,"Zoos & Aquariums, Nature & Parks, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g53703-d4990641-Reviews-Critter_Country_Exotic_Animals-Smithton_Pennsylvania.html,,#1 of 3 things to do in Smithton,Critter Country Exotic Animals,5 ,,Smithton,PA,914 Rte 981,17248725988,15479,,"Sun - Sat 12:00 pm - 6:00 pm , ",,2
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g53639-d5844022-Reviews-CARSON_S_Tavern-Scottdale_Pennsylvania.html,,#2 of 3 things to do in Scottdale,CARSON'S Tavern,2 ,,Scottdale,PA,404 North Broadway Street,724-887-7425,15683,,"Sun 4:00 pm - 10:00 pm , Mon - Sat 11:00 am - 10:00 pm , ",,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g55084-d5829301-Reviews-It_s_5_o_clock_Somewhere-Halls_Tennessee.html,,#3 of 3 things to do in Halls,It's 5 o'clock Somewhere,,,"Halls,Halls","TN,TN","3155 Dee Webb Rd.,3155 Dee Webb Rd.",731-413-8427,"38040,38040",,,,
,,"Observation Decks & Towers, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g55084-d909541-Reviews-Lauderdale_County_Wildlife_Observation_Tower-Halls_Tennessee.html,,#2 of 3 things to do in Halls,Lauderdale County Wildlife Observation Tower,2 ,,Halls,TN,Tennessee Highway 210 North,,38040,,,,0
,,"Military Bases & Facilities, Military Museums, Sights & Landmarks, Museums",,https://www.tripadvisor.com/Attraction_Review-g55084-d665302-Reviews-The_Veterans_Museum-Halls_Tennessee.html,,#1 of 3 things to do in Halls,The Veterans' Museum,10 ,,Halls,TN,"The Dyersburg Army Air Base Mem. Assoc., Inc.",731-836-7400,38040,,"Sun - Sat 2:00 pm - 5:00 pm , ",,1
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g54935-d5841672-Reviews-Lolly_s-Carthage_Tennessee.html,,#3 of 3 things to do in Carthage,Lolly's,,,"Carthage,Carthage","TN,TN","342 lebanon hwy,342 lebanon hwy",615-683-9071,"37030,37030",,,,
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g54929-d1474690-Reviews-Butler_Museum-Butler_Tennessee.html,,#3 of 3 things to do in Butler,Butler Museum,8 ,,Butler,TN,123 Selma Curtis Rd.,(423) 768-3880,,,"Sun 12:00 pm - 4:00 pm , Tue - Sat 11:00 am - 4:00 pm , ",,0
,,"Theater & Performances, Operas, Concerts & Shows",,https://www.tripadvisor.com/Attraction_Review-g54862-d8661324-Reviews-1905_Opera_House-Wessington_Springs_South_Dakota.html,,#3 of 3 things to do in Wessington Springs,1905 Opera House,,,"Wessington Springs,Wessington Springs","SD,SD","108 Dakota Ave. N.,108 Dakota Ave. N.",+1 (605) 539-0014,"57382,57382",,,,
,,"Nature & Wildlife Areas, Bodies of Water, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g54929-d8384842-Reviews-Wautauga_Lake-Butler_Tennessee.html,,#2 of 3 things to do in Butler,Wautauga Lake,10 ,,Butler,TN,,,37640,,,,0
,,"Bodies of Water, Dams, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g54935-d10211352-Reviews-Cordell_Hull_Lake-Carthage_Tennessee.html,,#1 of 3 things to do in Carthage,Cordell Hull Lake,1 ,,Carthage,TN,71 Corps Lane,,37030-9710,,,,1
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g54806-d5845629-Reviews-Cheetahs_Peanut_Bar-Sisseton_South_Dakota.html,,#3 of 3 things to do in Sisseton,Cheetahs/ Peanut Bar,,,"Sisseton,Sisseton","SD,SD","459TH AVE,459TH AVE",605 742 0344,"57262,57262",,,,
,,"History Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g54862-d8661339-Reviews-Jerauld_County_Pioneer_Museum-Wessington_Springs_South_Dakota.html,,#2 of 3 things to do in Wessington Springs,Jerauld County Pioneer Museum,,,"Wessington Springs,Wessington Springs","SD,SD","105 Main St. E.,105 Main St. E.",+16055391929,"57382,57382",,,,
,,"Gardens, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g54862-d8660742-Reviews-Shakespeare_Garden_Anne_Hathaway_Cottage-Wessington_Springs_South_Dakota.html,,#1 of 3 things to do in Wessington Springs,Shakespeare Garden & Anne Hathaway Cottage,1 ,,Wessington Springs,SD,501 Alene Ave. N,,57382,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g54858-d5842451-Reviews-The_Decoy_Bar-Webster_South_Dakota.html,,#3 of 3 things to do in Webster,The Decoy Bar,1 ,,Webster,SD,518 Main Street,605-345-4081,57274,,"Sat 10:00 am - 12:00 am , Mon - Tue 3:00 pm - 2:00 am , Mon 12:00 am - 2:00 am , Wed - Fri 10:00 am - 2:00 am , ",,1
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g54695-d5843221-Reviews-Jerseys_Bar_Grill-Madison_South_Dakota.html,,#2 of 3 things to do in Madison,Jerseys Bar & Grill,,,"Madison,Madison,Madison,Madison","SD,SD,SD,SD","235 S. Highland Ave,203 North Egan Avenue,235 S. Highland Ave,122 South Egan Ave",605-256-3758,"57042,57042,57042,57042",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g54695-d5836613-Reviews-Smokehouse_Recreation-Madison_South_Dakota.html,,#3 of 3 things to do in Madison,Smokehouse Recreation,,,"Madison,Madison,Madison,Madison","SD,SD,SD,SD","122 South Egan Ave,203 North Egan Avenue,235 S. Highland Ave,122 South Egan Ave",,"57042,57042,57042,57042",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g54695-d6198944-Reviews-Stadium_Sports_Grill-Madison_South_Dakota.html,,#1 of 3 things to do in Madison,Stadium Sports Grill,,,"Madison,Madison,Madison,Madison","SD,SD,SD,SD","203 North Egan Avenue,203 North Egan Avenue,235 S. Highland Ave,122 South Egan Ave",605-427-9521,"57042,57042,57042,57042",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g54682-d5846627-Reviews-R_Bar-Lemmon_South_Dakota.html,,#3 of 3 things to do in Lemmon,R Bar,1 ,,Lemmon,SD,116 Main Ave,(605) 374-RBAR (7227),57638,,,,0
,,"Historic Sites, Sights & Landmarks, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g54682-d2232970-Reviews-Petrified_Wood_Park-Lemmon_South_Dakota.html,,#1 of 3 things to do in Lemmon,Petrified Wood Park,25 ,,Lemmon,SD,500 Main Street,605-374-3964,57638,,,,1
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g54758-d5836130-Reviews-Slash_J_Saloon-Piedmont_South_Dakota.html,,#3 of 3 things to do in Piedmont,Slash J Saloon,5 ,,Piedmont,SD,105 N. 1st Street,605-787-6940,57769,,,,0
,,"Hiking Trails, Nature & Parks, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g55329-d7340294-Reviews-Mountain_Goat_Trail-Sewanee_Tennessee.html,,#3 of 3 things to do in Sewanee,Mountain Goat Trail,5 ,,Sewanee,TN,Highway 156 (Midway Road),,37387,,,,0
,,"Monuments & Statues, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g55329-d7808433-Reviews-The_Cross-Sewanee_Tennessee.html,,#2 of 3 things to do in Sewanee,The Cross,21 ,,Sewanee,TN,Tennessee Avenue,,,,,,0
,,"Monuments & Statues, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g55985-d2420003-Reviews-World_s_Largest_Killer_Bee-Hidalgo_Texas.html,,#3 of 3 things to do in Hidalgo,World's Largest Killer Bee,3 ,,Hidalgo,TX,704 East Texano Dr,,78557,,,,1
,,"Educational sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g55329-d207160-Reviews-University_of_the_South-Sewanee_Tennessee.html,,#1 of 3 things to do in Sewanee,University of the South,94 ,,Sewanee,TN,,,,,,,0
